,Nup,Ndn
0,2.380637840899444,2.756638733784355
1,2.350502414700453,2.678721572938455
2,2.3238774702428704,2.6084388497120625
3,2.300160658526843,2.5448504182712406
4,2.278358585193853,2.4868680375611985
5,2.257320624933087,2.433553711640496
6,2.2359930217383504,2.3843118124730442
7,2.2136129679990764,2.3389187737991795
8,2.1898018371896786,2.2974061090165168
9,2.164560294186874,2.2598685662275186
10,2.138194355707997,2.226285631762759
11,2.1112074944651287,2.196421348214557
12,2.084187489976497,2.169823638572855
13,2.057707788616429,2.1459033391499003
14,2.0322582216252725,2.1240473444570376
15,2.008214274774227,2.103718837293381
16,1.98584762155922,2.0845134562129193
17,1.9653688446266953,2.066164221161402
18,1.946980874739283,2.048509103094365
19,1.9309157964679087,2.03144579956597
20,1.9174338535997946,2.0148970995811255
21,1.9067810293372627,1.998799749870698
22,1.8991222816482385,1.9831156123485423
23,1.8944800767365573,1.9678522947287613
24,1.892705813676427,1.9530754838799456
25,1.893495908364691,1.9388985453481733
26,1.896443468306976,1.925445469569176
27,1.901101951668823,1.9127968510711422
28,1.9070354639225668,1.9009397950643714
29,1.9138405751811391,1.8897459279176763
30,1.9211398772143298,1.878993598696933
31,1.928559350347348,1.868432189293376
32,1.9357048152596554,1.8578654380395463
33,1.942148255308426,1.8472166953924416
34,1.9474273503485557,1.8365413551952845
35,1.9510565599504635,1.825972789182629
36,1.9525478915706294,1.8156199208391353
37,1.9514420297115185,1.8054617483093691
38,1.9473513784845176,1.7952913897773708
39,1.9400124574666284,1.784742538451296
40,1.9293368541291016,1.7733921641673174
41,1.9154426263130764,1.760894915299667
42,1.8986478311517516,1.7470870309600546
43,1.8794182875683239,1.732011608502588
44,1.8582800233276806,1.7158564566559664
45,1.835724203195519,1.6988392181077752
46,1.8121394937214377,1.681098983882287
47,1.787798058358444,1.6626469216485196
48,1.762899273034481,1.6433949465929365
49,1.7376500167267042,1.6232405918586
50,1.7123445225918827,1.6021604943432326
51,1.687407489439801,1.5802658652213475
52,1.6633808483125416,1.5577980140862955
53,1.6408584048825596,1.5350746512779103
54,1.6203915865645069,1.5124196837889325
55,1.6023965445814103,1.4901110116148704
56,1.587087454447687,1.4683647193383413
57,1.5744486962480693,1.44735151134589
58,1.564246770850053,1.4272254308887198
59,1.5560757142411175,1.4081428356732555
60,1.5494264580981754,1.3902594845541456
61,1.543768209854014,1.373708220695611
62,1.5386267224083912,1.3585708898698177
63,1.5336420929815804,1.3448609960423457
64,1.528590624545047,1.3325285338266866
65,1.523364285910055,1.3214884710951265
66,1.5179155384464833,1.3116636884150057
67,1.512188601252997,1.3030257693104585
68,1.5060638964773647,1.295615414250395
69,1.499337061422962,1.2895299412667387
70,1.4917396506536025,1.2848777629500785
71,1.482992403059751,1.2817150140393883
72,1.472871415675484,1.2799907002080877
73,1.4612659751988775,1.2795275365515444
74,1.4482128788052082,1.2800526650706057
75,1.4339008441671282,1.2812704830348847
76,1.4186459870174783,1.28294697936347
77,1.4028435844439078,1.2849673352262074
78,1.3869044747375074,1.2873391391342321
79,1.3711881319728745,1.2901381386185555
80,1.355948817052813,1.2934223329052599
81,1.3413115264419881,1.2971556504444135
82,1.3272888484017198,1.3011769839931655
83,1.31383563501054,1.3052265179308233
84,1.3009224795607537,1.3090126095991392
85,1.288598201566963,1.312284876201197
86,1.2770132183470384,1.3148801888231323
87,1.266391393711523,1.3167275860961944
88,1.2569601921054365,1.3178208590449196
89,1.2488680607991163,1.3181821035244041
90,1.2421230895976725,1.3178375772103932
91,1.2365770762311872,1.3168133870728012
92,1.2319577098164631,1.3151425216543433
93,1.227932332103276,1.3128687359206903
94,1.2241765748134856,1.3100378854867614
95,1.2204243991295982,1.306679981571184
96,1.216488983183077,1.302794298351192
97,1.2122572329095307,1.298349827784866
98,1.2076688270838747,1.2933034184869625
99,1.202690204674779,1.2876264367639583
100,1.1972897083019798,1.2813244935418837
101,1.1914161680185558,1.274439196888498
102,1.184983376449759,1.2670312203725775
103,1.1778655606584019,1.2591550225172476
104,1.1699101124398665,1.2508386920718797
105,1.1609698985352748,1.242078080418069
106,1.1509486830730304,1.232845683113551
107,1.1398441765014702,1.2231073502072702
108,1.1277702029211338,1.2128386035626588
109,1.1149459635511525,1.2020355043403042
110,1.1016541458241027,1.190719729186026
111,1.088183656436901,1.1789396849776
112,1.074780578673952,1.1667686729496833
113,1.061626244877098,1.1542989384774631
114,1.0488486625091453,1.1416300681051685
115,1.036557268633223,1.128852744733457
116,1.0248817550504596,1.116032446181342
117,1.0139952528508667,1.1031998081242214
118,1.0041118127014819,1.0903524062227619
119,0.9954600427378032,1.0774680658956046
120,0.9882449305278831,1.0645242583573375
121,0.982611770949801,1.0515160693788113
122,0.9786226260602301,1.0384666065304538
123,0.9762485786393812,1.0254281090326256
124,0.975375136463622,1.012476189504955
125,0.9758159308876306,0.9997012630037775
126,0.9773302396878844,0.9872004435291661
127,0.9796418650639276,0.9750710406230786
128,0.9824580035203234,0.9634055630631079
129,0.985486693018801,0.9522882797208885
130,0.9884509474195662,0.9417942345536231
131,0.9910978097614025,0.9319916154220143
132,0.993202042760967,0.9229467762989945
133,0.9945660711964771,0.9147291249811099
134,0.9950193572498731,0.9074120361537613
135,0.9944202917278627,0.9010676110121055
136,0.9926621086508647,0.8957565478502008
137,0.9896818218572683,0.8915180005275101
138,0.9854692399788385,0.8883649326596131
139,0.9800723780135927,0.8862878766223481
140,0.9735964733121931,0.8852650531306052
141,0.9661959248843083,0.8852728692396871
142,0.9580605945173095,0.8862904480893594
