,Nup,Ndn,Currents
0,2.3806378408477986,2.7566387338177663,2.5479002697174707e-08
1,2.2690135067387924,2.523439048182445,0.012015492618975745
2,2.1558766191340584,2.3223408232494314,0.02212628793969458
3,2.045246197272624,2.148123384489125,0.03162622356714243
4,1.9396243339117663,1.9965913895688217,0.040939934217439446
5,1.8404478594105635,1.8643076721987886,0.05017680863641514
6,1.7484389390871098,1.7484582576663084,0.05932581749196734
7,1.663828348357403,1.646709812288428,0.06834680843553943
8,1.586523141079132,1.5571216516969704,0.07718182525112352
9,1.5162316613170668,1.4780581676819557,0.0857909545843959
10,1.4525421127836498,1.408134781177333,0.09413145468888566
11,1.3949778392629295,1.3461763612215352,0.10216569982573351
12,1.3430389320655869,1.2911772243483066,0.10986449006971291
13,1.29622548277262,1.2422750111278118,0.11720217754039942
14,1.2540541310461963,1.1987293659374767,0.12415873746930217
15,1.2160699548600438,1.1598894235666142,0.13071737817334086
16,1.1818488703090844,1.1252001088348687,0.1368668575712019
17,1.1510008069346471,1.094176656892915,0.14259975974614533
18,1.1231714040769316,1.0663937738826021,0.14791250700779282
19,1.0980405833762572,1.0414805794078503,0.15280413252085442
20,1.075319815095329,1.0191134023897972,0.15727723104396343
21,1.0547503536443814,0.9990070263771255,0.1613371935304025
22,1.0361012504301967,0.9809116031352676,0.16499216640544245
23,1.0191663791327683,0.964606701531385,0.16823253703181723
24,1.003763019649305,0.9498984369582051,0.17110917410305443
25,0.989727896765185,0.9366159105083985,0.1736225875995057
26,0.9769163655398769,0.9246082072973812,0.17578476098167548
27,0.9651999369568893,0.9137418287504308,0.17760026117935473
28,0.9544646120266255,0.9038986781778424,0.17911750790293435
29,0.9446092002347567,0.8949741147108958,0.18031739379195078
30,0.9355456770258077,0.8868758889307209,0.18123452647649718
31,0.9271892497727391,0.8795201881494435,0.18188742702176597
32,0.9194734278032345,0.8728349449901752,0.1822945793198871
33,0.9123344569530973,0.8667548694408385,0.1824742427602983
34,0.9057159617904956,0.8612217877662214,0.18244437088171267
35,0.8995680679490762,0.8561838630243939,0.1822224223454721
36,0.8938463261886973,0.8515949024246827,0.18182529114900506
