,Nup,Ndn
0,3.0000000000000013,3.0000000000000018
1,2.9284998880651845,2.8571607802612378
2,2.8674858721840093,2.7371030238847704
3,2.811585347237995,2.6335223920821833
4,2.7581212838496496,2.5465839056931623
5,2.706663284978868,2.4782266730721965
6,2.6570676744362087,2.427031622318818
7,2.60890241296557,2.3895942840032416
8,2.562210184839902,2.3636809435689705
9,2.518339840450343,2.3477983778475267
10,2.4799605058103404,2.3395515097898545
11,2.4498952334971102,2.336256427098995
12,2.4295265103051653,2.336456616495489
13,2.418289215380402,2.340030961851803
14,2.414600711851573,2.3472692776995285
15,2.4169262311224884,2.358012155813062
16,2.423834640902203,2.3711170418088443
17,2.4333860441933846,2.384631266043441
18,2.443087145262406,2.3968305769466625
19,2.450850697948018,2.4069396448733325
20,2.4556040593738127,2.4144404753214217
21,2.4560490652296103,2.4180342315028627
22,2.4490756850935216,2.4161834739008534
23,2.431050840306421,2.408720928254644
24,2.40123931048656,2.396960885604292
25,2.362723220426225,2.3818067395659357
26,2.319660077311793,2.3625067877253056
27,2.2751860069904564,2.337796636279996
28,2.2322396749446254,2.307540948581696
29,2.194227928968085,2.2726834077606344
30,2.1636050939944136,2.234383154276772
31,2.1408329551439187,2.1939703806685773
32,2.1251520251762126,2.153160532963056
33,2.1152606016489703,2.1135649565158636
34,2.1092465569400924,2.0761540577493047
35,2.1053607423237564,2.0412560168993372
36,2.103258363941519,2.008601347527943
37,2.1034478581481757,1.977528255509907
38,2.105227616511607,1.9479076111115454
39,2.105907122427373,1.920850936526794
40,2.1022921820608724,1.8978888395098703
41,2.0925743484686037,1.879546241778558
42,2.0768802414530594,1.8652954684614445
43,2.0565252936349885,1.8547462544958464
44,2.0329754344133337,1.848084440845608
45,2.00744911092455,1.8450574937351913
46,1.9813783729222116,1.8442148617987986
47,1.9568768338520937,1.8439738485772237
48,1.9361670334472783,1.8442862144826757
49,1.9203123657016146,1.846423880027611
50,1.9088242055048126,1.8511074797120686
51,1.9007510294248284,1.8576738134058517
52,1.895922332539494,1.865001557607619
53,1.8949644218390924,1.8721600130596903
54,1.8983496430129772,1.8780379103222036
55,1.9054768262811264,1.8814181706243482
56,1.9142911775656284,1.8817712678399754
57,1.9217930863587906,1.8794036683072228
58,1.925442848781149,1.8748692489452898
59,1.9241959080803381,1.8687635444006765
60,1.917972079197364,1.861796865130374
61,1.9066439605606973,1.8542847281755712
62,1.8903261118685644,1.8455361219572504
63,1.8702869440366532,1.8343167492832304
64,1.8486106042924506,1.8201249177761951
65,1.8269485847006197,1.8037208135757838
66,1.8061172688732996,1.7862451188427029
67,1.7866536720052366,1.7681866695458333
68,1.7691696108838424,1.7496159171434358
69,1.7542984932566208,1.7310582833448585
70,1.7426968539263927,1.7133262170670065
71,1.734927702912883,1.696502595856585
72,1.7310049324465688,1.67992166207912
73,1.730114228638713,1.6634036475884524
74,1.7308965128632805,1.6479105708357855
75,1.731871655235783,1.6347894031779755
76,1.7315932325148036,1.6248719678660593
77,1.728802558184029,1.6184153263954795
78,1.722894472443253,1.6153158292189564
79,1.7143224444855196,1.6150256922000996
80,1.704302688486737,1.6165735068908138
81,1.6939215083072552,1.6190159077531407
82,1.6835533382954664,1.6218637286179085
83,1.673105794046521,1.6250552866870125
84,1.662536636251598,1.6287320753870884
85,1.6519894267825785,1.6331477396659957
86,1.6417508114787993,1.6385167297439251
87,1.6324203807333957,1.6446313065852738
88,1.6249968839949405,1.6506807801931218
89,1.6204687778354947,1.6556601946348553
90,1.6192114783163076,1.6589518940181627
91,1.6207643494999162,1.660465866071075
92,1.6240344759642638,1.6604131552339947
93,1.6276164539065974,1.659113830574916
94,1.6301068948904163,1.6568588441104541
95,1.6304503846944334,1.653692955962148
96,1.6282398204989237,1.6492779121778263
97,1.6238125920563482,1.6430412245738044
98,1.6180305883223278,1.6345163420986608
99,1.6117682520167063,1.6236294783936662
100,1.6054362002138896,1.6108045507264643
101,1.599014527283531,1.5968914728995611
102,1.5925689339034679,1.5829470455717904
103,1.5866057021903568,1.5698970000940877
104,1.581902623492175,1.5582093637818577
105,1.5792112290166656,1.5478062913056947
106,1.5791748322543393,1.5382853727597117
107,1.5821846756003435,1.5292577030646255
108,1.5879797316162392,1.5206131446651243
109,1.595405119269704,1.5126638344074483
110,1.602692012477563,1.5060843895174327
111,1.6080341984244924,1.5015941411307128
112,1.6100961168311323,1.4995938554049584
113,1.6083343468577134,1.5000344534594632
114,1.6030584032116362,1.5025079409475197
115,1.595168078610741,1.5064306841960717
116,1.585741669784096,1.5113173444639194
117,1.5757378824218775,1.5170541601446426
118,1.5658609841607465,1.5239063503484573
119,1.556536040421628,1.5322218995778338
120,1.5480389790810074,1.5421242973365958
121,1.5407719024196418,1.5533764455248547
122,1.535460179302153,1.5653379159009502
123,1.5330329596244194,1.577002627446047
124,1.5342138319880825,1.5872417620918398
125,1.5391076439357663,1.5952225365763308
126,1.5470694588916316,1.6007328956392783
127,1.5568995459435342,1.6041586148482088
128,1.5671828364760891,1.6061356126769446
129,1.5766037907498125,1.6071631326645948
130,1.5842000179765137,1.6074197479157597
131,1.5895144532102912,1.6067507262709124
132,1.5925321430431414,1.6047236316496283
133,1.5933934355969757,1.60081830346164
134,1.5920901686846958,1.5947642647139406
135,1.5883807630844673,1.5867687791567324
136,1.58197310697648,1.5774313407668898
137,1.5728471239887485,1.5674756600112734
138,1.5615447671634295,1.5574935364671547
139,1.5492886159791759,1.5477403554073708
140,1.5378387085305059,1.538072330898357
141,1.5290768210011685,1.5281734947442156
